date,home_team,away_team,winner,first_shooter
1984-05-27,England,Sweden,Sweden,
1988-06-12,China PR,Brazil,Brazil,Brazil
1995-06-13,Sweden,China PR,China PR,China PR
1996-05-18,Japan,Canada,Japan,
1998-07-25,China PR,Norway,China PR,
1998-07-27,Denmark,Norway,Norway,
1998-12-15,North Korea,Taiwan,North Korea,
1999-01-09,Australia,Italy,Italy,
1999-07-10,Brazil,Norway,Brazil,Norway
1999-07-10,United States,China PR,United States,China PR
1999-08-02,Canada,Mexico,Mexico,
1999-08-04,Canada,Costa Rica,Costa Rica,
2001-09-12,Vietnam,Myanmar,Vietnam,
2001-11-29,Guatemala,Honduras,Honduras,
2006-12-13,Japan,North Korea,North Korea,
2007-07-05,Bermuda,Isle of Man,Bermuda,
2007-09-15,Myanmar,Thailand,Myanmar,
2008-04-12,Canada,United States,United States,
2009-03-12,France,New Zealand,France,
2009-12-16,Thailand,Vietnam,Vietnam,
2011-06-15,Colombia,Denmark,Colombia,
2011-07-06,Zimbabwe,Tanzania,Zimbabwe,
2011-07-09,England,France,France,France
2011-07-10,Brazil,United States,United States,United States
2011-07-17,Japan,United States,Japan,United States
2011-10-12,United Arab Emirates,Iran,United Arab Emirates,
2011-10-27,Brazil,Canada,Canada,
2012-03-06,New Zealand,Netherlands,Netherlands,
2012-03-06,South Korea,Finland,South Korea,
2012-09-22,Vietnam,Myanmar,Vietnam,Myanmar
2013-03-11,Slovenia,Bosnia and Herzegovina,Slovenia,
2013-03-11,Russia,Czech Republic,Russia,
2013-03-13,South Africa,Northern Ireland,South Africa,
2013-07-18,Bermuda,Greenland,Bermuda,
2013-12-18,Myanmar,Thailand,Thailand,
2014-03-12,Scotland,South Korea,South Korea,
2015-03-11,Northern Ireland,Bosnia and Herzegovina,Bosnia and Herzegovina,
2015-03-11,Croatia,Wales,Wales,
2015-03-11,South Korea,Belgium,South Korea,
2015-06-26,Germany,France,Germany,Germany
2015-07-31,Maldives,Mayotte,Mayotte,
2015-08-02,Réunion,Madagascar,Madagascar,
2016-08-02,Myanmar,Vietnam,Vietnam,
